,momentum_126d,olps_rmr,xgboost_trend,hmm_garch
2009-07-09,0.003547222617954038,0.003547222617954038,0.0,0.0
2009-07-10,-0.00402182877421664,-0.00402182877421664,0.0,0.0
2009-07-13,0.024933721734452963,0.024933721734452963,0.0,0.0
2009-07-14,0.005316063622877065,0.005316063622877065,0.0,0.0
2009-07-15,0.02962991811422233,0.02962991811422233,0.0,0.0
2009-07-16,0.008641760970416357,0.008641760970416357,0.0,0.0
2009-07-17,-0.00038266189946156715,-0.00038266189946156715,0.0,0.0
2009-07-20,0.01143154888894049,0.01143154888894049,0.0,0.0
2009-07-21,0.003627277227424175,0.003627277227424175,0.0,0.0
2009-07-22,-0.0005342765996504406,-0.0005342765996504406,0.0,0.0
2009-07-23,0.023289664838582524,0.023289664838582524,0.0,0.0
2009-07-24,0.003042161453180592,0.003042161453180592,0.0,0.0
2009-07-27,0.0029818259512661704,0.0029818259512661704,0.0,0.0
2009-07-28,-0.0026064444171983725,-0.0026064444171983725,0.0,0.0
2009-07-29,-0.004562963930304753,-0.004562963930304753,0.0,0.0
2009-07-30,0.01189558047020256,0.01189558047020256,0.0,0.0
2009-07-31,0.0007397825880415265,0.0007397825880415265,0.0,0.0
2009-08-03,0.015342107904679603,0.015342107904679603,0.0,0.0
2009-08-04,0.003012097699592653,0.003012097699592653,0.0,0.0
2009-08-05,-0.002913591845875696,-0.002913591845875696,0.0,0.0
2009-08-06,-0.005624654717235167,0.005624654717235167,0.0,0.0
2009-08-07,0.013439205629671047,-0.013439205629671047,0.0,0.0
2009-08-10,-0.0033449498734695604,0.0033449498734695604,0.0,0.0
2009-08-11,-0.012660113503211945,0.012660113503211945,0.0,0.0
2009-08-12,0.011525139291026054,-0.011525139291026054,0.0,0.0
2009-08-13,0.0068800100684554,-0.0068800100684554,0.0,0.0
2009-08-14,-0.008531349698250423,0.008531349698250423,0.0,0.0
2009-08-17,-0.02426081898553223,0.02426081898553223,0.0,0.0
2009-08-18,0.01014565506778764,-0.01014565506778764,0.0,0.0
2009-08-19,0.006860912404894393,-0.006860912404894393,0.0,0.0
2009-08-20,0.010948731413161106,-0.010948731413161106,0.0,0.0
2009-08-21,0.018622760114512582,-0.018622760114512582,0.0,0.0
2009-08-24,-0.0005457969176273503,0.0005457969176273503,0.0,0.0
2009-08-25,0.0023694665778091206,-0.0023694665778091206,0.0,0.0
2009-08-26,0.0001167267676920325,-0.0001167267676920325,0.0,0.0
2009-08-27,0.002781762211750971,-0.002781762211750971,0.0,0.0
2009-08-28,-0.001988328383331406,0.001988328383331406,0.0,0.0
2009-08-31,-0.008076407685613796,0.008076407685613796,0.0,0.0
2009-09-01,-0.022123823948061228,0.022123823948061228,0.0,0.0
2009-09-02,-0.003296439120451411,0.003296439120451411,0.0,0.0
2009-09-03,0.008534797923473336,-0.008534797923473336,0.0,0.0
2009-09-04,0.013117533499250822,0.013117533499250822,0.0,0.0
2009-09-08,0.008844933115342624,0.008844933115342624,0.0,0.0
2009-09-09,0.007782385584753415,0.007782385584753415,0.0,0.0
2009-09-10,0.010422229774562641,0.010422229774562641,0.0,0.0
2009-09-11,-0.0013504263412050799,-0.0013504263412050799,0.0,0.0
2009-09-14,0.0063391150876768165,0.0063391150876768165,0.0,0.0
2009-09-15,0.0031353414238139976,0.0031353414238139976,0.0,0.0
2009-09-16,0.015323527552882465,0.015323527552882465,0.0,0.0
2009-09-17,-0.003059638741504833,-0.003059638741504833,0.0,0.0
2009-09-18,0.0026373392706691146,0.0026373392706691146,0.0,0.0
2009-09-21,-0.0034072961546995906,-0.0034072961546995906,0.0,0.0
2009-09-22,0.006574868761175523,0.006574868761175523,0.0,0.0
2009-09-23,-0.010068528001755062,-0.010068528001755062,0.0,0.0
2009-09-24,-0.00951102950102567,-0.00951102950102567,0.0,0.0
2009-09-25,-0.006090736629573268,-0.006090736629573268,0.0,0.0
2009-09-28,0.017809586069224448,0.017809586069224448,0.0,0.0
2009-09-29,-0.0022295764367475934,-0.0022295764367475934,0.0,0.0
2009-09-30,-0.003328301020761093,-0.003328301020761093,0.0,0.0
2009-10-01,-0.025759622356647194,-0.025759622356647194,0.0,0.0
2009-10-02,-0.004505524841904807,-0.004505524841904807,0.0,0.0
2009-10-05,0.014875001786029074,0.014875001786029074,0.0,0.0
2009-10-06,0.013705486324313787,0.013705486324313787,0.0,0.0
2009-10-07,0.002711606332490124,0.002711606332490124,0.0,0.0
2009-10-08,0.007469907470196047,0.007469907470196047,0.0,0.0
2009-10-09,0.005640659492242017,0.005640659492242017,0.0,0.0
